Photo_2007-07-04_022.jpg [[145, 78], [541, 58], [148, 478], [544, 478]]
Photo_2012-02-12T185728.jpg [[59, 99], [361, 58], [124, 432], [387, 447]]
Photo_2010-07-03T125302.jpg [[180, 27], [531, 27], [168, 473], [556, 463]]
Photo_2009-09-06_004.jpg [[166, 64], [515, 44], [117, 444], [555, 454]]
Photo_2016-07-10T151316.jpg [[104, 66], [394, 19], [143, 462], [420, 445]]
Photo_2011-12-23T163257.jpg [[230, 47], [501, 69], [220, 421], [555, 409]]
Photo_2011-09-18T190134.jpg [[289, 35], [582, 65], [285, 443], [601, 425]]
Photo_2012-12-29T183246.jpg [[145, 14], [507, 11], [145, 457], [514, 447]]
Photo_2011-07-01T221902.jpg [[244, 32], [505, 51], [260, 389], [555, 361]]
Photo_2010-07-04T161731.jpg [[50, 43], [418, 28], [77, 454], [410, 471]]
Photo_2006-09-10_001.jpg [[131, 39], [498, 48], [103, 450], [517, 457]]
Photo_2012-11-13T211407.jpg [[185, 17], [510, 9], [181, 424], [541, 416]]
Photo_2011-06-07T181300.jpg [[247, 25], [572, 20], [261, 451], [610, 419]]
Photo_2012-11-11T221411.jpg [[180, 19], [530, 18], [174, 462], [557, 453]]
Photo_2008-04-05_069.jpg [[182, 24], [541, 45], [173, 429], [542, 427]]
Photo_2011-07-03T154228.jpg [[149, 7], [511, 1], [133, 447], [528, 449]]
Photo_2011-02-08T200215.jpg [[263, 52], [579, 49], [274, 454], [597, 434]]
Photo_2009-09-06_010.jpg [[135, 52], [486, 41], [102, 446], [520, 436]]
Photo_2011-02-13T174628.jpg [[276, 52], [565, 63], [280, 445], [576, 423]]
Photo_2012-11-17T151025.jpg [[70, 65], [396, 15], [99, 444], [417, 455]]
Photo_2011-01-30T130134.jpg [[179, 10], [529, 5], [164, 454], [568, 445]]
Photo_2008-04-05_041.jpg [[140, 22], [513, 40], [140, 460], [520, 430]]
Photo_2012-12-11T215558.jpg [[134, 9], [496, 7], [118, 459], [515, 465]]
Photo_2011-03-15T190346.jpg [[79, 52], [428, 23], [98, 462], [444, 456]]
Photo_2013-05-21T210357.jpg [[226, 11], [546, 34], [228, 443], [541, 413]]
Photo_2010-04-11T100835.jpg [[146, 22], [511, 11], [130, 477], [545, 469]]
Photo_2012-05-20T133841.jpg [[163, 34], [493, 28], [141, 453], [529, 451]]
Photo_2011-05-10T190836.jpg [[51, 44], [397, 18], [73, 446], [404, 454]]
Photo_2012-09-25T200308.jpg [[229, 12], [540, 24], [236, 438], [597, 409]]
Photo_2009-11-08_013.jpg [[182, 49], [455, 90], [183, 412], [485, 390]]
